Title,Authors,Source.Title,Publication.Year,Nyear,Nsite
Grazing alters insect visitation networks and plant mating systems,"Vanbergen, Adam J.; Woodcock, Ben A.; Gray, Alan; Grant, Fiona; Telford, Annika; Lambdon, Phil; Chapman, Dan S.; Pywell, Richard F.; Heard, Matt S.; Cavers, Stephen",FUNCTIONAL ECOLOGY,2014,3,5
Contrasting effects of large herbivore grazing on smaller herbivores,"Bakker, E. S.; Olff, H.; Gleichman, J. M.",BASIC AND APPLIED ECOLOGY,2009,8,5
Time-scale effects in the interaction between a large and a small herbivore,"Kuijper, D. P. J.; Beek, P.; van Wieren, S. E.; Bakker, J. P.",BASIC AND APPLIED ECOLOGY,2008,3,5
"Habitat protection, cattle grazing and density-dependent reproduction in a desert tree","Aschero, Valeria; Vazquez, Diego P.",AUSTRAL ECOLOGY,2009,3,5
THE EFFECTS OF SHEEP-GRAZING ON THE SUBTERRANEAN TERMITE FAUNA (ISOPTERA) OF THE WESTERN-AUSTRALIAN WHEAT-BELT,"ABENSPERGTRAUN, M",AUSTRALIAN JOURNAL OF ECOLOGY,1992,1,5
Benefits of habitat restoration to small mammal diversity and abundance in a pastoral agricultural landscape in mid-Wales,"Moro, Dorian; Gadal, Stephanie",BIODIVERSITY AND CONSERVATION,2007,1,5
Predator indices from artificial nests and tracking tunnels: do they tell the same story?,"Getzlaff, Christy L.; Sievwright, Karin A.; Hickey-Elliott, Andree B.; Armstrong, Doug P.",NEW ZEALAND JOURNAL OF ECOLOGY,2013,4,5
Rewilding with large herbivores: Direct effects and edge effects of grazing refuges on plant and invertebrate communities,"van Klink, Roel; Ruifrok, Jasper L.; Smit, Christian",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,4,5
Complex effects of mammalian grazing on extramatrical mycelial biomass in the Scandes forest-tundra ecotone,"Vowles, Tage; Lindwall, Frida; Ekblad, Alf; Bahram, Mohammad; Furneaux, Brendan R.; Ryberg, Martin; Bjork, Robert G.",ECOLOGY AND EVOLUTION,2018,1,5
The distribution of ant colonies in a semiarid landscape: Implications for community and ecosystem processes,"Crist, TO; Wiens, JA",OIKOS,1996,1,5
Long-term changes in collembolan communities in grazed and non-grazed abandoned arable fields in Denmark,"Petersen, H; Jucevica, E; Gjelstrup, P",PEDOBIOLOGIA,2004,15,5
Bee diversity in tallgrass prairies affected by management and its effects on above- and below-ground resources,"Buckles, Brittany J.; Harmon-Threatt, Alexandra N.",JOURNAL OF APPLIED ECOLOGY,2019,1,5
Fauna community trends during early restoration of alluvial open forest/woodland ecosystems on former agricultural land,"Smith, Geoffrey C.; Lewis, Tom; Hogan, Luke D.",RESTORATION ECOLOGY,2015,11,5
Impact of reindeer grazing on ground-dwelling Carabidae and Curculionidae assemblages in Lapland,"Suominen, O; Niemela, J; Martikainen, P; Niemela, P; Kojola, I",ECOGRAPHY,2003,2,6
Post-Soviet agricultural change predicts future declines after recent recovery in Eurasian steppe bird populations,"Kamp, Johannes; Urazaliev, Ruslan; Donald, Paul F.; Hoelzel, Norbert",BIOLOGICAL CONSERVATION,2011,1,6
Livestock grazing affects the egg size of an insectivorous passerine,"Evans, DM; Redpath, SM; Evans, SA; Elston, DA; Dennis, P",BIOLOGY LETTERS,2005,2,6
"Conservation of small and medium-sized mammals following native woodland regrowth: A case study in a long-term UNESCO Biosphere Reserve, Argentina","Tabeni, S.; Spirito, F.; Ojeda, R. A.",JOURNAL OF ARID ENVIRONMENTS,2013,2,6
Nematode community responses to a moisture gradient and grazing along a restored riparian corridor,"Briar, Shabeg S.; Culman, Steven W.; Young-Mathews, Anna; Jackson, Louise E.; Ferris, Howard",EUROPEAN JOURNAL OF SOIL BIOLOGY,2012,2,6
Response of Rodents to Wildfire and Livestock Grazing in an Arizona Desert Grassland,"Bock, Carl E.; Jones, Zach F.; Kennedy, Linda J.; Bock, Jane H.",AMERICAN MIDLAND NATURALIST,2011,7,6
Tidal flooding diminishes the effects of livestock grazing on soil micro-food webs in a coastal saltmarsh,"Yang, Zaichao; Nolte, Stefanie; Wu, Jihua",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,2,6
Large herbivore grazing limits small-mammal densities in Finnish Lapland,"den Herder, Michael; Helle, Samuli; Niemela, Pekka; Henttonen, Heikki; Helle, Timo",ANNALES ZOOLOGICI FENNICI,2016,4,6
Grazing intensity affects insect diversity via sward structure and heterogeneity in a long-term experiment,"Jerrentrup, Jana Sabrina; Wrage-Moennig, Nicole; Roever, Klaus-Ulrich; Isselstein, Johannes",JOURNAL OF APPLIED ECOLOGY,2014,10,6
Effects of grazing regime on the relative body mass of the endangered pygmy bluetongue lizard (Tiliqua adelaidensis),"Nielsen, Torben Peiter; Bull, Christopher Michael",AUSTRAL ECOLOGY,2019,3,6
"Searching for cover: soil enrichment and herbivore exclusion, not fire, enhance African savanna small-mammal abundance","Bergstrom, Bradley J.; Sensenig, Ryan L.; Augustine, David J.; Young, Truman P.",ECOSPHERE,2018,3,6
Small mammal abundance and seed predation across boundaries in a restored-grazed woodland interface,"Tabeni, Solana; Florencia Miguel, M.; Campos, Claudia M.; Cona, Monica",RESTORATION ECOLOGY,2018,2,6
The effects of flooding and livestock on post-dispersal seed predation in river red gum habitats,"Meeson, N; Robertson, AI; Jansen, A",JOURNAL OF APPLIED ECOLOGY,2002,2,7
Abiotic effects predominate under prolonged livestock-induced disturbance,"Eldridge, David J.; Val, James; James, Alex I.",AUSTRAL ECOLOGY,2011,1,7
THE IMPLICATIONS OF RED DEER GRAZING TO GROUND VEGETATION AND INVERTEBRATE COMMUNITIES OF SCOTTISH NATIVE PINEWOODS,"BAINES, D; SAGE, RB; BAINES, MM",JOURNAL OF APPLIED ECOLOGY,1994,2,8
Vegetation composition determines microbial activities in a boreal forest soil,"Ohtonen, R; Vare, H",MICROBIAL ECOLOGY,1998,1,8
Effects of livestock exclusion on in-stream habitat and benthic invertebrate assemblages in montane streams,"Herbst, David B.; Bogan, Michael T.; Roll, Sandra K.; Safford, Hugh D.",FRESHWATER BIOLOGY,2012,6,8
Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah,"van der Plas, Fons; Olff, Han",OECOLOGIA,2014,10,8
Passive recovery of small vertebrates following livestock removal in the Australian rangelands,"Haby, Nerissa A.; Brandle, Robert",RESTORATION ECOLOGY,2018,17,8
The influence of grazing intensity and landscape composition on the diversity and abundance of flower-visiting insects,"Sjodin, N. Erik; Bengtsson, Jan; Ekbom, Barbara",JOURNAL OF APPLIED ECOLOGY,2008,NA,8
The impact of feral horses on grassland bird communities in Argentina,"Zalba, SM; Cozzani, NC",ANIMAL CONSERVATION,2004,1,8
"Spiders are not less diverse in small and isolated grasslands, but less diverse in overgrazed grasslands: A field study (East Hungary, Nyirseg)","Horvath, Roland; Magura, Tibor; Szinetar, Csaba; Tothmeresz, Bela",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2009,3,8
Influence of pasture management on soil biological quality,"Banerjee, MR; Burton, DL; McCaughey, WP; Grant, CA",JOURNAL OF RANGE MANAGEMENT,2000,3,8
"Restoration of semi-natural grasslands, a success for phytophagous beetles (Curculionidae)","Steiner, Magdalena; Ockinger, Erik; Karrer, Gerhard; Winsa, Marie; Jonsell, Mats",BIODIVERSITY AND CONSERVATION,2016,1,8
Reciprocal facilitation between large herbivores and ants in a semi-arid grassland,"Li, Xiaofei; Zhong, Zhiwei; Sanders, Dirk; Smit, Christian; Wang, Deli; Nummi, Petri; Zhu, Yu; Wang, Ling; Zhu, Hui; Hassan, Nazim",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,4,8
Grass height is the determinant of sheep grazing effects on small mammals in a savanna ecosystem,"Kuiper, T. R.; Parker, D. M.",RANGELAND JOURNAL,2013,1,9
Effects of the progressive abandonment of grazing on dung beetle biodiversity: body size matters,"Tonelli, Mattia; Verdu, Jose R.; Zunino, Mario",BIODIVERSITY AND CONSERVATION,2018,2,9
Suppression of grasshoppers in the Great Plains through grazing management,"Onsager, JA",JOURNAL OF RANGE MANAGEMENT,2000,6,9
Grazing Intensity Influences Ground Squirrel and American Badger Habitat Use in Mixed-Grass Prairies,"Bylo, Lindsey N.; Koper, Nicola; Molloy, Kelsey A.",RANGELAND ECOLOGY & MANAGEMENT,2014,7,9
Functional diversity loss with increasing livestock grazing intensity in drylands: the mechanisms and their consequences depend on the taxa,"Chillo, Veronica; Ojeda, Ricardo A.; Capmourteres, Virginia; Anand, Madhur",JOURNAL OF APPLIED ECOLOGY,2017,2,10
Response of vertebrates to fenceline contrasts in grazing intensity in semi-arid woodlands of eastern Australia,"James, C",AUSTRAL ECOLOGY,2003,1,10
Differences in the reproductive success and survival of the rufous treecreeper (Climacteris rufa) between a fragmented and unfragmented landscape,"Luck, GW",BIOLOGICAL CONSERVATION,2003,2,10
Short-term effects on sheep pastureland due to grazing abandonment in a Western Mediterranean island ecosystem: A multidisciplinary approach,"Farris, Emmanuele; Filigheddu, Rossella; Deiana, Pietrino; Farris, Giovanni A.; Garau, Giovanni",JOURNAL FOR NATURE CONSERVATION,2010,6,10
"Interactions between sheep, rodents, graminoids, and bryophytes in an oceanic alpine ecosystem of low productivity","Austrheim, Gunnar; Mysterud, Atle; Hassel, Kristian; Evju, Marianne; Okland, Rune H.",ECOSCIENCE,2007,5,10
Does Long-term Grazing by Pack Stock in Subalpine Wet Meadows Result in Lasting Effects on Arthropod Assemblages?,"Holmquist, Jeffrey G.; Schmidt-Gengenbach, Jutta; Haultain, Sylvia A.",WETLANDS,2010,1,10
Grazing simplifies soil micro-food webs and decouples their relationships with ecosystem functions in grasslands,"Wang, Bing; Wu, Liji; Chen, Dima; Wu, Ying; Hu, Shuijin; Li, Linghao; Bai, Yongfei",GLOBAL CHANGE BIOLOGY,2019,1,10
"Lone star tick abundance, fire, and bison grazing in tallgrass prairie","Cully, JF",JOURNAL OF RANGE MANAGEMENT,1999,2,11
Changes in spider assemblages along grassland and savanna grazing gradients in northern Australia,"Churchill, TB; Ludwig, JA",RANGELAND JOURNAL,2004,1,11
Habitat preference of geese is affected by livestock grazing - seasonal variation in an experimental field evaluation,"Mandema, Freek S.; Tinbergen, Joost M.; Stahl, Julia; Esselink, Peter; Bakker, Jan P.",WILDLIFE BIOLOGY,2014,3,12
Breeding skylarks Alauda arvensis on Environmentally Sensitive Area arable reversion grass in southern England: survey-based and experimental determination of density,"Wakeham-Dawson, A; Szoszkiewicz, K; Stern, K; Aebischer, NJ",JOURNAL OF APPLIED ECOLOGY,1998,3,12
Effects of fire and grazing on an arid grassland ecosystem,"Valone, TJ; Nordell, SE; Ernest, SKM",SOUTHWESTERN NATURALIST,2002,4,12
Large decline of birds in Sahelian rangelands due to loss of woody cover and soil seed bank,"Zwarts, Leo; Bijlsma, Rob G.; van der Kamp, Jan",JOURNAL OF ARID ENVIRONMENTS,2018,57,12
"Changes in arbuscular mycorrhiza fungi spore density and root colonization of woody plants in response to exclosure age and slope position in the highlands of Tigray, Northern Ethiopia","Birhane, Emiru; Aregawi, Kahsay; Giday, Kidane",JOURNAL OF ARID ENVIRONMENTS,2017,1,12
Alterations of steppe-like grasslands in Eastern Europe: a threat to regional biodiversity hotspots,"Cremene, C; Groza, G; Rakosy, L; Schileyko, AA; Baur, A; Erhardt, A; Baur, B",CONSERVATION BIOLOGY,2005,1,13
Consequences of succession on extensively grazed grasslands for central European butterfly communities: Rethinking conservation practices,"Balmer, O; Erhardt, A",CONSERVATION BIOLOGY,2000,1,14
"RESPONSES OF BIRDS, RODENTS, AND VEGETATION TO LIVESTOCK EXCLOSURE IN A SEMIDESERT GRASSLAND SITE","BOCK, CE; BOCK, JH; KENNEY, WR; HAWTHORNE, VM",JOURNAL OF RANGE MANAGEMENT,1984,3,14
The influence of livestock grazing and weed invasion on habitat use by birds in grassy woodland reminants,"Maron, M; Lill, A",BIOLOGICAL CONSERVATION,2005,1,14
"Species diversity and habitat of grassland passerines during grazing of a prescribe-burned, mixed-grass prairie","Danley, RE; Murphy, RK; Madden, EM",WESTERN NORTH AMERICAN NATURALIST,2004,3,15
Effects of stock grazing on the ground invertebrate fauna of woodland remnants,"Bromham, L; Cardillo, M; Bennett, AF; Elgar, MA",AUSTRALIAN JOURNAL OF ECOLOGY,1999,1,15
Is landscape context important for riparian conservation? Birds in grassy woodland,"Martin, TG; McIntyre, S; Catterall, CP; Possingham, HP",BIOLOGICAL CONSERVATION,2006,3,16
Effects of sheep grazing on abundance and predators of field vole (Microtus agrestis) in upland Britain,"Wheeler, Philip",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2008,2,16
Short-term responses of native bees to livestock and implications for managing ecosystem services in grasslands,"Kimoto, Chiho; DeBano, Sandra J.; Thorp, Robbin W.; Taylor, Robert V.; Schmalz, Heidi; DelCurto, Timothy; Johnson, Tracey; Kennedy, Patricia L.; Rao, Sujaya",ECOSPHERE,2012,2,16
Impacts of large mammals on movements of the pouched mouse (Saccostomus mearnsi) in central Kenya,"Ostfeld, Jacob K.; Keesing, Felicia",AFRICAN JOURNAL OF ECOLOGY,2019,8,18
"Grazing intensity and the diversity of grasshoppers, butterflies, and trap-nesting bees and wasps","Kruess, A; Tscharntke, T",CONSERVATION BIOLOGY,2002,1,18
Progressively excluding mammals of different body size affects community and trait structure of ground beetles,"Wang, Xiaowei; Steiner, Magdalena; Schuetz, Martin; Vandegehuchte, Martijn L.; Risch, Anita C.",OIKOS,2018,5,18
Grazing effects on between-year variation of farmland bird communities,"Soderstrom, B; Part, T; Linnarsson, E",ECOLOGICAL APPLICATIONS,2001,5,20
"Impact of grazing and desertification in the Chihuahuan Desert: Plant communities, granivores and granivory","Kerley, GIH; Whitford, WG",AMERICAN MIDLAND NATURALIST,2000,1,20
Consequences for host-parasitoid interactions of grazing-dependent habitat heterogeneity,"Vanbergen, AJ; Hails, RS; Watt, AD; Jones, TH",JOURNAL OF ANIMAL ECOLOGY,2006,1,20
The implications of grazing and predator management on the habitats and breeding success of black grouse Tetrao tetrix,"Baines, D",JOURNAL OF APPLIED ECOLOGY,1996,3,20
"Relationships between earthworm populations, grassland management and badger densities in County Kilkenny, Ireland","Muldowney, J; Curry, JP; O'Keeffe, J; Schmidt, O",PEDOBIOLOGIA,2003,2,20
Revegetation of farmland restores function and composition of epigaeic beetle assemblages,"Gibb, H.; Cunningham, S. A.",BIOLOGICAL CONSERVATION,2010,2,20
Effects of management intensity on land snails in Swiss nutrient-poor pastures,"Boschi, Cristina; Baur, Bruno",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2007,1,21
Impact of cervid browsing and grazing on the terrestrial gastropod fauna in the boreal forests of Fennoscandia,"Suominen, O",ECOGRAPHY,1999,1,23
Twice-Over Rotational Grazing and Its Impacts on Grassland Songbird Abundance and Habitat Structure,"Ranellucci, Cristina L.; Koper, Nicola; Henderson, Darcy C.",RANGELAND ECOLOGY & MANAGEMENT,2012,2,23
Successive sheep grazing reduces population density of Brandt's voles in steppe grassland by altering food resources: a large manipulative experiment,"Li, Guoliang; Yin, Baofa; Wan, Xinrong; Wei, Wanhong; Wang, Guiming; Krebs, Charles J.; Zhang, Zhibin",OECOLOGIA,2016,4,24
Contrasting responses of plant and insect diversity to variation in grazing intensity,"Kruess, A; Tscharntke, T",BIOLOGICAL CONSERVATION,2002,1,24
Does extensive grazing benefit butterflies in coastal dunes?,"WallisDeVries, MF; Raemakers, I",RESTORATION ECOLOGY,2001,5,24
"Effects of grassland abandonment, restoration and management on butterflies and vascular plants","Ockinger, Erik; Eriksson, Anna K.; Smith, Henrik G.",BIOLOGICAL CONSERVATION,2006,2,24
The value of newly created wood pastures for bird and grasshopper conservation,"Roesch, Verena; Hoffmann, Malte; Diehl, Ulrich; Entling, Martin H.",BIOLOGICAL CONSERVATION,2019,1,24
Grazing management of calcareous grasslands and its implications for the conservation of beetle communities,"Woodcock, BA; Pywell, RF; Roy, DB; Rose, RJ; Bell, D",BIOLOGICAL CONSERVATION,2005,1,25
Carabid communities on heather moorlands in northeast Scotland: The consequences of grazing pressure for community diversity,"Gardner, SM; Hartley, SE; Davies, A; Palmer, SCF",BIOLOGICAL CONSERVATION,1997,2,28
"Impacts of grazing and burning on spider assemblages in dry eucalypt forests of north-eastern New South Wales, Australia","Harris, R; York, A; Beattie, AJ",AUSTRAL ECOLOGY,2003,1,30
Local and landscape management drive trait-mediated biodiversity of nine taxa on small grassland fragments,"Kormann, Urs; Roesch, Verena; Batary, Peter; Tscharntke, Teja; Orci, Kirill Mark; Samu, Ferenc; Scherber, Christoph",DIVERSITY AND DISTRIBUTIONS,2015,1,30
Effects of introduction and exclusion of large herbivores on small rodent communities,"Smit, R; Bokdam, J; den Ouden, J; Olff, H; Schot-Opschoor, H; Schrijvers, M",PLANT ECOLOGY,2001,1,32
Restoration of butterfly and moth communities in semi-natural grasslands by cattle grazing,"Poyry, J; Lindgren, S; Salminen, J; Kuussaari, M",ECOLOGICAL APPLICATIONS,2004,2,33
Habitat and avifaunal recovery from livestock grazing in a riparian meadow system of the northwestern Great Basin,"Dobkin, DS; Rich, AC; Pyle, WH",CONSERVATION BIOLOGY,1998,3,36
Is livestock grazing compatible with biodiversity conservation? Impacts on savanna ant communities in the Australian seasonal tropics,"Arcoverde, Gabriela B.; Andersen, Alan N.; Setterfield, Samantha A.",BIODIVERSITY AND CONSERVATION,2017,1,38
Is breeding of farmland wading birds depressed by a combination of predator abundance and grazing?,"van der Wal, R.; Palmer, S. C. F.",BIOLOGY LETTERS,2008,1,40
Effects of grazing intensity on bird assemblages and populations of Hungarian grasslands,"Baldi, A; Batary, P; Erdos, S",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2005,1,42
Effect of conservation management on bees and insect-pollinated grassland plant communities in three European countries,"Batary, Peter; Baldi, Andras; Saropataki, Miklos; Kohler, Florian; Verhulst, Jort; Knop, Eva; Herzog, Felix; Kleijn, David",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010,1,42
"Grassland versus non-grassland bird abundance and diversity in managed grasslands: local, landscape and regional scale effects","Batary, Peter; Baldi, Andras; Erdos, Sarolta",BIODIVERSITY AND CONSERVATION,2007,1,42
Effects of local and landscape scale and cattle grazing intensity on Orthoptera assemblages of the Hungarian Great Plain,"Batary, Peter; Orci, Kirill Mark; Baldi, Andras; Kleijn, David; Kisbenedek, Tibor; Erdos, Sarolta",BASIC AND APPLIED ECOLOGY,2007,1,42
Effects of grazing and biogeographic regions on grassland biodiversity in Hungary - analysing assemblages of 1200 species,"Baldi, A.; Batary, P.; Kleijn, D.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,2,42
Relative contributions of local and regional factors to species richness and total density of butterflies and moths in semi-natural grasslands,"Poeyry, J.; Paukkunen, J.; Helioelae, J.; Kuussaari, M.",OECOLOGIA,2009,1,48
Effects of grazing and prescribed fire on resource selection and nest survival of upland sandpipers in an experimental landscape,"Sandercock, Brett K.; Alfaro-Barrios, Matilde; Casey, Ashley E.; Johnson, Tracey N.; Mong, Tony W.; Odom, Karan J.; Strum, Khara M.; Winder, Virginia L.",LANDSCAPE ECOLOGY,2015,8,60
Grazing and wildfire effects on small mammals inhabiting montane meadows,"Horncastle, Valerie J.; Chambers, Carol L.; Dickson, Brett G.",JOURNAL OF WILDLIFE MANAGEMENT,2019,2,64
Is the density of redshank Tringa totanus nesting on saltmarshes in Great Britain declining due to changes in grazing management?,"Norris, K; Brindley, E; Cook, T; Babbs, S; Brown, CF; Yaxley, R",JOURNAL OF APPLIED ECOLOGY,1998,12,77
GRAZING INTENSITY EFFECTS ON THE BREEDING AVIFAUNA OF NORTH-DAKOTA NATIVE GRASSLANDS,"KANTRUD, HA",CANADIAN FIELD-NATURALIST,1981,NA,180
Cattle grating and avian communities of the St. Lawrence River Islands,"Belanger, L; Picard, M",JOURNAL OF RANGE MANAGEMENT,1999,1,3
Avian Community Response to Grazing Intensity on Monoculture and Mixed Florida Pastures,"Willcox, Emma V.; Tanner, George W.; Giuliano, William M.; McSorley, Robert",RANGELAND ECOLOGY & MANAGEMENT,2010,8,NA
Long-Term Lesser Prairie-Chicken Nest Ecology in Response to Grassland Management,"Fritts, Sarah R.; Grisham, Blake A.; Haukos, David A.; Boal, Clint W.; Patten, Michael A.; Wolfe, Don H.; Dixon, Charles E.; Cox, Robert D.; Heck, Willard R.",JOURNAL OF WILDLIFE MANAGEMENT,2016,10,NA
Opposing effects of agricultural intensification on two ecologically similar species,"Lush, Lucy; Ward, Alastair I.; Wheeler, Philip",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2014,2,NA
Nest-site selection and productivity of Vesper Sparrows breeding in grazed habitats,"Harrison, M.L.; Mahony, N.A.; Robinson, P.; Newbury, A.; Green, D. J.",Journal of field ornithology,2011,3,NA
"Auchenorrhyncha communities as indicators of disturbance in grasslands (Insecta, Hemiptera) - a case study from the Elbe flood plains (northern Germany)","Nickel, H; Hildebrandt, J",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2003,2,NA
Shrub-grassland small mammal and vegetation responses to rest from grazing,"Rosenstock, SS",JOURNAL OF RANGE MANAGEMENT,1996,11,NA
Ungulate and topographic control of arbuscular mycorrhizal fungal spore community composition in a temperate grassland,"Murray, Tanya R.; Frank, Douglas A.; Gehring, Catherine A.",ECOLOGY,2010,1,NA
Differential Responses of Postmetamorphic Amphibians to Cattle Grazing in Wetlands,"Burton, Elizabeth C.; Gray, Matthew J.; Schmutzer, A. Chandler; Miller, Debra L.",JOURNAL OF WILDLIFE MANAGEMENT,2009,2,NA
Avifaunal changes as a consequence of large-scale livestock exclusion in the mountains of Central Argentina,"Garcia, Cesar; Renison, Daniel; Cingolani, Ana M.; Fernandez-Juricic, Esteban",JOURNAL OF APPLIED ECOLOGY,2008,2,NA
"Benthic macroinvertebrate fauna in small streams used by cattle in the Blue Ridge Mountains, Virginia","Braccia, Amy; Voshell, J. Reese, Jr.",NORTHEASTERN NATURALIST,2006,2,NA
